date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:27	13868/13868	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2019:34:17%20GMT	https://perfect-coins.ltd/?a=signup	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/indexcca3.html	(from https://perfect-coins.ltd/?a=home)
12:39:28	6357/6357	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Sep%202021%2019:34:17%20GMT	https://perfect-coins.ltd/?a=login	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/indexc30b.html	(from https://perfect-coins.ltd/?a=home)
12:39:28	82449/82449	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2004:18:52%20GMT	https://perfect-coins.ltd/revslider/assets/57b4d-13.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/assets/57b4d-13.png	(from https://perfect-coins.ltd/?a=home)
12:39:29	30277/30277	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jun%202018%2004:19:00%20GMT	https://perfect-coins.ltd/revslider/assets/b78ec-04.jpg	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/assets/b78ec-04.jpg	(from https://perfect-coins.ltd/?a=home)
12:39:30	9818/9818	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2004:18:34%20GMT	https://perfect-coins.ltd/revslider/assets/04c8d-05.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/assets/04c8d-05.png	(from https://perfect-coins.ltd/?a=home)
12:39:32	1571/1571	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2004:18:36%20GMT	https://perfect-coins.ltd/revslider/assets/0dd17-06.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/revslider/assets/0dd17-06.png	(from https://perfect-coins.ltd/?a=home)
12:39:34	214231/214231	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b18f0482422d07d9a71b4922ad2b6125%22	https://widgets.coingecko.com/coingecko-coin-price-marquee-widget.js	C:/My%20Web%20Sites/uchenaya/widgets.coingecko.com/coingecko-coin-price-marquee-widget.js	(from https://perfect-coins.ltd/?a=home)
12:39:36	78914/78914	---M--	200	added ('OK')	image/webp	date:Thu,%2001%20Oct%202020%2006:48:54%20GMT	https://perfect-coins.ltd/bb/004.webp	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/bb/004.webp	(from https://perfect-coins.ltd/?a=home)
12:39:39	6415/6415	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Dec%202017%2008:38:30%20GMT	https://perfect-coins.ltd/images/services/icon/01.png	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/images/services/icon/01.png	(from https://perfect-coins.ltd/?a=home)
12:39:40	459868/459868	---M--	200	added ('OK')	application/octet-stream-unknown	date:Sun,%2021%20Mar%202021%2006:39:24%20GMT	https://perfect-coins.ltd/doc/business_profile.docx	C:/My%20Web%20Sites/uchenaya/perfect-coins.ltd/doc/business_profile.docx	(from https://perfect-coins.ltd/?a=home)
